filename,pool,file_path,linked_from_root,meet_name,date_raw,date_start,date_end,location,source,file_size_bytes,notes
00AmOpen.htm,root,public/LiftTilYaDie/00AmOpen.htm,False,2000 AMERICAN OPEN,"DECEMBER 1-3, 2000",2000-12-01,2000-12-03,"BUFFALO, NY",,117301,duplicate_exists_in_Results
00CalStates.htm,root,public/LiftTilYaDie/00CalStates.htm,False,2000 California State Championships,"May 20, 2000",2000-17-20,2000-17-20,"Sacramento State University, Sacramento, CA",,36416,duplicate_exists_in_Results
00GldWst.htm,root,public/LiftTilYaDie/00GldWst.htm,False,2000 Golden West Open,"November 5, 2000",2000-11-05,2000-11-05,"Cal State Sacramento, Sacramento, CA",,26960,duplicate_exists_in_Results
00JrNats.htm,root,public/LiftTilYaDie/00JrNats.htm,False,2000 USAW JUNIOR NATIONALS,"February 11 - 13, 2000",2000-02-11,2000-02-13,"USA WEIGHTLIFTING JUNIOR NATIONALS Shreveport, LA",,119040,duplicate_exists_in_Results; has_record_notations
00NoGuts.htm,root,public/LiftTilYaDie/00NoGuts.htm,False,2000 NO GUTS ~ NO GLORY OPEN,2000,2000,,,Jim Schmitz,30000,duplicate_exists_in_Results
00OlyTry.htm,root,public/LiftTilYaDie/00OlyTry.htm,False,2000 USAW OLYMPIC TRYOUTS,"July 22, 2000",2000-07-22,2000-07-22,"USA WEIGHTLIFTING OLYMPIC TRYOUTS New Orleans, LA",,26609,duplicate_exists_in_Results; has_record_notations
00SrNats.htm,root,public/LiftTilYaDie/00SrNats.htm,False,2000 USAW SENIOR NATIONALS,"March 10 - 12, 2000",2000-03-10,2000-03-12,"USA WEIGHTLIFTING SENIOR NATIONALS Frederick, MD",,87699,duplicate_exists_in_Results
01AmOpen.htm,root,public/LiftTilYaDie/01AmOpen.htm,False,2001 AMERICAN OPEN,"DECEMBER 7 - 9, 2001",2001-12-07,2001-12-09,DOMESTIC DIVISION,,160242,duplicate_exists_in_Results; has_record_notations; large_file_possibly_multi_meet
01GldWst.htm,root,public/LiftTilYaDie/01GldWst.htm,False,2001 Golden West Open,"November 3, 2001",2001-11-03,2001-11-03,"Chico State University, Chico, CA",,39015,duplicate_exists_in_Results
01JrNats.htm,root,public/LiftTilYaDie/01JrNats.htm,False,2001 NATIONAL JUNIORS,"MARCH 16 - 18, 2001",2001-03-16,2001-03-18,JUNIOR NATIONALS,,257252,duplicate_exists_in_Results; has_record_notations; large_file_possibly_multi_meet
01NoGuts.htm,root,public/LiftTilYaDie/01NoGuts.htm,False,2001 NO GUTS ~ NO GLORY OPEN,2001,2001,,,,33747,duplicate_exists_in_Results
01SrNats.htm,root,public/LiftTilYaDie/01SrNats.htm,False,2001 SENIOR NATIONALS,"APRIL 20 - 22, 2001",2001-04-20,2001-04-22,SENIOR NATIONALS,,71704,duplicate_exists_in_Results; has_record_notations
01TryOut.htm,root,public/LiftTilYaDie/01TryOut.htm,False,2001 USA Weightlifting World Team Tryouts,"June 16, 2001",2001-06-16,2001-06-16,"World Team Tryouts Dallas, TX",,27957,duplicate_exists_in_Results; has_record_notations
92BltBkl.htm,root,public/LiftTilYaDie/92BltBkl.htm,False,1992 Belt Buckle Open,"August 16, 1992",1992-08-16,1992-08-16,MWC Training Center,,14632,duplicate_exists_in_Results
